id,name,logo,description,fullDescription,website,linkedin
1,Renewbeam,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545530/Renewbeam_logo_c6kedz.png,Transforming low-value wood into high-performance building components,"Renewbeam transforms low-value and waste wood into high-performance structural beams using a unique 3D-pressing technology. By upcycling underused forest resources, the company offers a lightweight, low-carbon alternative, enabling circular, sustainable construction and reducing emissions, waste, and raw material use.",https://www.renewbeam.se,
2,Peak Energy,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545529/Peak_Energy_AB_logo_xu6ouk.png,Helping businesses master peak power and optimize energy use,"Peak Energy is a Nordic climate-tech company providing neutral B2B infrastructure for capacity-tariff data and intelligent charging. Our API-driven platform ensures high-quality grid-tariff information, advanced cost analysis, and real-time optimization—helping charge-point operators, energy companies, and property owners reduce costs, unlock flexibility revenue, and build future-ready energy services.",https://peakenergy.se,https://www.linkedin.com/company/peakenergy/
3,Solstice AB,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545531/Solstice_logo_mi7ri1.png,Solar-charged thermal storage delivering industrial heat on demand,"Generating heat is a major cost and energy burden for industry. 75% of industrial heat is still fossil. Solstice replaces this with renewable high temperature heat captured from the sun, stored in sand -ensuring clean, reliable heat whenever it’s needed and slashing the costs tied to industrial heat generation.",https://www.linkedin.com/company/solstice-energy-storage,https://www.linkedin.com/company/solstice-energy-storage
4,Cstrider AB,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545528/Cstrider_logo_nqye47.png,Autonomous electric ferry system for sustainable urban marine passenger transport,"Cstrider was founded in 2023 by former colleagues with the same shrive to contribute to reduce climate impact, improve urban life and mobility. Our first prototype vessel Celia One are well received by passengers and potential customers when she has been demonstrated in several Swedish cities and municipalities.",https://cstrider.com/,https://www.linkedin.com/company/cstrider/
5,Greenco Tech AB,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545529/GreencoTech_logo_iacufh.png,Modular high-temperature thermal batteries for industrial energy flexibility,"Greenco Tech AB develops modular high-temperature thermal batteries that store heat up to 1500 °C for industrial and district-heating flexibility. Our systems turn excess or low-cost heat into reliable thermal resources for steam, process heat, peak-shaving and CHP integration, helping operators cut fossil peaks, lower energy costs and reduce CO₂ emissions.",https://greencotech.com/,https://www.linkedin.com/company/greencotech-ab/
6,Causergy,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545527/causergy_logo_vxtldm.png,Causal AI for reducing fuel and emissions at power plants,"Causergy uses causal AI to identify and prescribe multi-million dollar efficiency opportunities in thermal power plants. Our patent-pending solution is already trained on 3B+ data points from 1 100 plants, enabling swift value without data sharing/integration, later followed by APIs into current operator workflows.",https://www.causergy.com,https://www.linkedin.com/company/causergy/
7,Re:notch Energy AB,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545531/Solstice_logo_mi7ri1.png,Unlocking Solar’s Full Potential to Maximise On-Site Clean Energy,"Re:notch turns underused rooftops into clean, affordable winter heat. Our patented seasonal thermal battery stores surplus summer solar in the ground and delivers high-efficiency heat when buildings need it most. By combining innovation with strong unit economics, we create future-proof heating solutions that cut emissions, reduce energy costs, and boost property value — without burdening the electric grid.",https://www.renotch.com,https://www.linkedin.com/company/re-notch/
8,Copper Lavender AB,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545528/CopperLavender_logo_w9zyhh.png,Fossil-free chemicals made from CO2,"Copper Lavender turns captured CO₂ into valuable chemicals using renewable electricity and patented dual-value electrolysis. Our platform molecule, acetylene, is the starting point for fragrances, pharmaceuticals, electronics, polymers and solvents. We offer fossil cost parity while using 3.3 kg of CO₂ to make 1 kg of drop-in acetylene.",https://copperlavender.com/,https://www.linkedin.com/company/copper-lavender-ab/
9,Besca,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545527/Besca_logo_uxk01h.png,Turns plants into carbon materials for batteries and water purification,"Besca transforms biochar into high-value carbon products that are essential for energy storage in batteries and purifying our drinking water. The company is revolutionizing this industry by introducing plasma technology which eliminates the environmental footprint associated with traditional methods. This innovation enables Besca to offer competitive pricing, exceptional product design capabilities and the utilization of local bio-resources instead of fossil-based carbon.",https://www.bescacarbon.com/,
10,Bright Materia,https://res.cloudinary.com/dd5gvfxzv/image/upload/v1769545527/brightmateria_logo_feicvg.png,Transforming waste biomass into cutting-edge sustainable materials,"Bright Materia is pioneering the transition to bio-based materials by valorizing residual streams from the forestry, sawmill, and pulp industries.
Our patented process delivers high-quality, >99% pure, light-colored, and odorless lignin – technically superior and strategically positioned to help companies reduce reliance on fossil resources and harmful chemicals.",https://www.brightmateria.com/,https://www.linkedin.com/company/brightmateria/
